,Unnamed: 0,Periodo,TV,radio,newspaper,sales
71,72,Dic-18,109.8,14.3,31.7,12400
72,73,Ene-19,26.8,33.0,19.3,8800
73,74,Feb-19,129.4,5.7,31.3,11000
74,75,Mar-19,213.4,24.6,13.1,17000
75,76,Abr-19,16.9,43.7,89.4,8700
76,77,May-19,27.5,1.6,20.7,6900
77,78,Jun-19,120.5,28.5,14.2,14200
78,79,Jul-19,5.4,29.9,9.4,5300
79,80,Ago-19,116.0,7.7,23.1,11000
80,81,Set-19,76.4,26.7,22.3,11800
81,82,Oct-19,239.8,4.1,36.9,12300
82,83,Nov-19,75.3,20.3,32.5,11300
83,84,Dic-19,68.4,44.5,35.6,13600
84,85,Ene-20,213.5,43.0,33.8,21700
85,86,Feb-20,193.2,18.4,65.7,15200
86,87,Mar-20,76.3,27.5,16.0,12000
87,88,Abr-20,110.7,40.6,63.2,16000
88,89,May-20,88.3,25.5,73.4,12900
89,90,Jun-20,109.8,47.8,51.4,16700
90,91,Jul-20,134.3,4.9,9.3,11200
91,92,Ago-20,28.6,1.5,33.0,7300
92,93,Set-20,217.7,33.5,59.0,19400
93,94,Oct-20,250.9,36.5,72.3,22200
94,95,Nov-20,107.4,14.0,10.9,11500
95,96,Dic-20,163.3,31.6,52.9,16900
96,97,Ene-21,197.6,3.5,5.9,11700
97,98,Feb-21,184.9,21.0,22.0,15500
98,99,Mar-21,289.7,42.3,51.2,25400
99,100,Abr-21,135.2,41.7,45.9,17200
100,101,May-21,222.4,4.3,49.8,11700
101,102,Jun-21,296.4,36.3,100.9,23800
102,103,Jul-21,280.2,10.1,21.4,14800
103,104,Ago-21,187.9,17.2,17.9,14700
104,105,Set-21,238.2,34.3,5.3,20700
105,106,Oct-21,137.9,46.4,59.0,19200
106,107,Nov-21,25.0,11.0,29.7,7200
107,108,Dic-21,90.4,0.3,23.2,8700
108,109,Ene-22,13.1,0.4,25.6,5300
109,110,Feb-22,255.4,26.9,5.5,19800
110,111,Mar-22,225.8,8.2,56.5,13400
111,112,Abr-22,241.7,38.0,23.2,21800
112,113,May-22,175.7,15.4,2.4,14100
113,114,Jun-22,209.6,20.6,10.7,15900
114,115,Jul-22,78.2,46.8,34.5,14600
115,116,Ago-22,75.1,35.0,52.7,12600
116,117,Set-22,139.2,14.3,25.6,12200
117,118,Oct-22,76.4,0.8,14.8,9400
118,119,Nov-22,125.7,36.9,79.2,15900
119,120,Dic-22,19.4,16.0,22.3,6600
120,121,Ene-23,141.3,26.8,46.2,15500
121,122,Feb-23,18.8,21.7,50.4,7000
122,123,Mar-23,224.0,2.4,15.6,11600
123,124,Abr-23,123.1,34.6,12.4,15200
124,125,May-23,229.5,32.3,74.2,19700
125,126,Jun-23,87.2,11.8,25.9,10600
126,127,Jul-23,7.8,38.9,50.6,6600
127,128,Ago-23,80.2,0.0,9.2,8800
128,129,Set-23,220.3,49.0,3.2,24700
129,130,Oct-23,59.6,12.0,43.1,9700
130,131,Nov-23,0.7,39.6,8.7,1600
131,132,Dic-23,265.2,2.9,43.0,12700
132,133,Ene-24,8.4,27.2,2.1,5700
133,134,Feb-24,219.8,33.5,45.1,19600
134,135,Mar-24,36.9,38.6,65.6,10800
135,136,Abr-24,48.3,47.0,8.5,11600
136,137,May-24,25.6,39.0,9.3,9500
137,138,Jun-24,273.7,28.9,59.7,20800
138,139,Jul-24,43.0,25.9,20.5,9600
139,140,Ago-24,184.9,43.9,1.7,20700
140,141,Set-24,73.4,17.0,12.9,10900
141,142,Oct-24,193.7,35.4,75.6,19200
142,143,Nov-24,220.5,33.2,37.9,20100
143,144,Dic-24,104.6,5.7,34.4,10400
144,145,Ene-25,96.2,14.8,38.9,11400
145,146,Feb-25,140.3,1.9,9.0,10300
146,147,Mar-25,240.1,7.3,8.7,13200
147,148,Abr-25,243.2,49.0,44.3,25400
148,149,May-25,38.0,40.3,11.9,10900
149,150,Jun-25,44.7,25.8,20.6,10100
150,151,Jul-25,280.7,13.9,37.0,16100
151,152,Ago-25,121.0,8.4,48.7,11600
152,153,Set-25,197.6,23.3,14.2,16600
153,154,Oct-25,171.3,39.7,37.7,19000
154,155,Nov-25,187.8,21.1,9.5,15600
155,156,Dic-25,4.1,11.6,5.7,3200
156,157,Ene-26,93.9,43.5,50.5,15300
157,158,Feb-26,149.8,1.3,24.3,10100
158,159,Mar-26,11.7,36.9,45.2,7300
159,160,Abr-26,131.7,18.4,34.6,12900
160,161,May-26,172.5,18.1,30.7,14400
161,162,Jun-26,85.7,35.8,49.3,13300
162,163,Jul-26,188.4,18.1,25.6,14900
163,164,Ago-26,163.5,36.8,7.4,18000
164,165,Set-26,117.2,14.7,5.4,11900
165,166,Oct-26,234.5,3.4,84.8,11900
166,167,Nov-26,17.9,37.6,21.6,8000
167,168,Dic-26,206.8,5.2,19.4,12200
168,169,Ene-27,215.4,23.6,57.6,17100
169,170,Feb-27,284.3,10.6,6.4,15000
170,171,Mar-27,50.0,11.6,18.4,8400
171,172,Abr-27,164.5,20.9,47.4,14500
172,173,May-27,19.6,20.1,17.0,7600
173,174,Jun-27,168.4,7.1,12.8,11700
174,175,Jul-27,222.4,3.4,13.1,11500
175,176,Ago-27,276.9,48.9,41.8,27000
176,177,Set-27,248.4,30.2,20.3,20200
177,178,Oct-27,170.2,7.8,35.2,11700
178,179,Nov-27,276.7,2.3,23.7,11800
179,180,Dic-27,165.6,10.0,17.6,12600
180,181,Ene-28,156.6,2.6,8.3,10500
181,182,Feb-28,218.5,5.4,27.4,12200
182,183,Mar-28,56.2,5.7,29.7,8700
183,184,Abr-28,287.6,43.0,71.8,26200
184,185,May-28,253.8,21.3,30.0,17600
185,186,Jun-28,205.0,45.1,19.6,22600
186,187,Jul-28,139.5,2.1,26.6,10300
187,188,Ago-28,191.1,28.7,18.2,17300
188,189,Set-28,286.0,13.9,3.7,15900
189,190,Oct-28,18.7,12.1,23.4,6700
190,191,Nov-28,39.5,41.1,5.8,10800
191,192,Dic-28,75.5,10.8,6.0,9900
192,193,Ene-29,17.2,4.1,31.6,5900
193,194,Feb-29,166.8,42.0,3.6,19600
194,195,Mar-29,149.7,35.6,6.0,17300
195,196,Abr-29,38.2,3.7,13.8,7600
196,197,May-29,94.2,4.9,8.1,9700
197,198,Jun-29,177.0,9.3,6.4,12800
198,199,Jul-29,283.6,42.0,66.2,25500
199,200,Ago-29,232.1,8.6,8.7,13400
